GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jmemcached-common,net.devstudy.jmemcashed.protocol.model,AbstractPackage,0,27,0,4,0,8,0,7,0,5
jmemcached-common,net.devstudy.jmemcashed.protocol.model,Status,12,104,1,3,1,14,1,5,0,4
jmemcached-common,net.devstudy.jmemcashed.protocol.model,Command,0,94,0,4,0,13,0,6,0,4
jmemcached-common,net.devstudy.jmemcashed.protocol.model,Response,0,39,0,2,0,11,0,5,0,4
jmemcached-common,net.devstudy.jmemcashed.protocol.model,Request,0,110,0,10,0,29,0,16,0,11
jmemcached-common,net.devstudy.jmemcashed.protocol.model,Version,0,105,0,4,0,13,0,7,0,5
jmemcached-common,net.devstudy.jmemcashed.protocol.impl,AbstractPackageConverter,0,25,0,2,0,6,0,4,0,3
jmemcached-common,net.devstudy.jmemcashed.protocol.impl,DefaultResponseConverter,0,74,0,6,0,19,0,6,0,3
jmemcached-common,net.devstudy.jmemcashed.protocol.impl,DefaultRequestConverter,0,198,0,26,0,47,0,19,0,6
jmemcached-common,net.devstudy.jmemcashed.protocol.impl,DefaultObjectSerializer,0,91,0,6,0,22,0,6,0,3
jmemcached-common,net.devstudy.jmemcashed.exception,JMemcashedConfigException,9,0,0,0,4,0,2,0,2,0
jmemcached-common,net.devstudy.jmemcashed.exception,JMemcashedException,4,9,0,0,2,4,1,2,1,2
